semana,bairro,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2023-04-17,AEROPORTO,0,0.0,1.0,0.0,0.25,-1.0,16,4
2023-04-24,AEROPORTO,0,0.0,0.0,1.0,0.25,0.0,17,4
2023-05-01,AEROPORTO,0,0.0,0.0,0.0,0.25,0.0,18,5
2023-05-08,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,19,5
2023-05-15,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,20,5
2023-05-22,AEROPORTO,1,0.0,0.0,0.0,0.0,0.0,21,5
2023-05-29,AEROPORTO,0,1.0,0.0,0.0,0.25,1.0,22,5
2023-06-05,AEROPORTO,0,0.0,1.0,0.0,0.25,-1.0,23,6
2023-06-12,AEROPORTO,0,0.0,0.0,1.0,0.25,0.0,24,6
2023-06-19,AEROPORTO,0,0.0,0.0,0.0,0.25,0.0,25,6
2023-06-26,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,26,6
2023-07-03,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,27,7
2023-07-10,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,28,7
2023-07-17,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,29,7
2023-07-24,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,30,7
2023-07-31,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,31,7
2023-08-07,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,32,8
2023-08-14,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,33,8
2023-08-21,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,34,8
2023-08-28,AEROPORTO,1,0.0,0.0,0.0,0.0,0.0,35,8
2023-09-04,AEROPORTO,0,1.0,0.0,0.0,0.25,1.0,36,9
2023-09-11,AEROPORTO,0,0.0,1.0,0.0,0.25,-1.0,37,9
2023-09-18,AEROPORTO,1,0.0,0.0,1.0,0.25,0.0,38,9
2023-09-25,AEROPORTO,0,1.0,0.0,0.0,0.5,1.0,39,9
2023-10-02,AEROPORTO,0,0.0,1.0,0.0,0.25,-1.0,40,10
2023-10-09,AEROPORTO,0,0.0,0.0,1.0,0.25,0.0,41,10
2023-10-16,AEROPORTO,0,0.0,0.0,0.0,0.25,0.0,42,10
2023-10-23,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,43,10
2023-10-30,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,44,10
2023-11-06,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,45,11
2023-11-13,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,46,11
2023-11-20,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,47,11
2023-11-27,AEROPORTO,0,0.0,0.0,0.0,0.0,0.0,48,11
